department,,id,email,name,department,team
Business Analysis,22,23,chandlernathaniel@haynes.com,Laura Archer,Business Analysis,hotel
Business Analysis,23,24,donna72@garcia-decker.net,Amy Powers,Business Analysis,bed
Business Analysis,31,32,wmartin@gmail.com,Diane Shannon,Business Analysis,skill
Business Analysis,35,36,uherman@cohen.com,Samuel Burton,Business Analysis,result
Business Analysis,66,67,williswilliam@hotmail.com,Janice Russell,Business Analysis,common
Business Analysis,76,77,kelly33@yahoo.com,Stephanie Sanders,Business Analysis,choose
Cloud Computing,46,47,robert97@yahoo.com,Kaylee Harrington,Cloud Computing,crime
Cloud Computing,53,54,scottmichelle@hotmail.com,Jerome Reed,Cloud Computing,six
Cloud Computing,86,87,francislawson@chavez-smith.com,Christopher Brown,Cloud Computing,still
Cybersecurity,30,31,diane58@gibson.info,Alexandra Allen,Cybersecurity,begin
Cybersecurity,40,41,xdiaz@alexander.com,James Barrett,Cybersecurity,worry
Cybersecurity,51,52,gary63@yahoo.com,Samantha Adams,Cybersecurity,you
Cybersecurity,91,92,wrightjustin@brown.net,Christopher Adams,Cybersecurity,resource
Data Science,7,8,asharp@patton.com,Karla Turner,Data Science,sister
Data Science,32,33,mary76@gmail.com,Robert Reynolds,Data Science,economic
Data Science,41,42,glogan@sandoval.com,John Fisher,Data Science,simply
Data Science,61,62,jennifer20@gmail.com,Ronald Johnson,Data Science,south
Data Science,81,82,ygonzales@hotmail.com,Kevin Moore,Data Science,nice
Data Science,83,84,powellmelissa@gmail.com,Alfred Olson,Data Science,stock
Database USERistration,4,5,sullivanmatthew@hamilton.com,Dustin Valenzuela,Database USERistration,table
Database USERistration,21,22,scott87@gmail.com,Deanna Graham,Database USERistration,story
Database USERistration,25,26,davidcook@hotmail.com,Michael Houston,Database USERistration,yes
Database USERistration,58,59,rodriguezbrian@mcclure.com,Amanda Mclaughlin,Database USERistration,clearly
Database USERistration,63,64,djames@hotmail.com,Michael Boyd,Database USERistration,law
Database USERistration,73,74,icalderon@rivera.com,Travis Richards,Database USERistration,before
Database USERistration,74,75,susanwang@olson.org,Samantha Hart,Database USERistration,evidence
DevOps,27,28,banderson@vang-chapman.com,Matthew Acevedo,DevOps,race
DevOps,36,37,jessica28@adams-bell.com,Troy Kelley,DevOps,woman
DevOps,79,80,bryanttammy@yahoo.com,Nicholas Ramirez,DevOps,cover
Enterprise Architecture,33,34,cookthomas@yahoo.com,Jack Kirby,Enterprise Architecture,traditional
Enterprise Architecture,38,39,ewilkins@miller-stewart.com,James Drake,Enterprise Architecture,maybe
